Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,ExhaustionLevel,Performance.Task
"0,5001317228","0,4576550851","0,3551576447","0,4319423878","0,2155661368","0,2227717875","0,1795981057","0,2795282645",0,1
"0,4997025142","0,4444469002","0,3519923534","0,4216578878","0,3267312338","0,2308511971","0,1673452786","0,3238266212",0,1
"0,5000301199","0,4165491049","0,3290260725","0,4225883015","0,3747790183","0,2198048784","0,1674555792","0,2256263443",0,1
"0,5000566175","0,4659835073","0,3725197357","0,420617919","0,2257808422","0,2504603112","0,1711434532","0,4262639469",0,1
"0,5002156863","0,4319729042","0,3460097201","0,420162441","0,3948689988","0,2363168853","0,1698048195","0,338209483",0,1
"0,4999485239","0,4223520352","0,3281650855","0,4278601718","0,3987680236","0,2330671633","0,1753234652","0,332342279",0,1
"0,4997664294","0,4503610013","0,3514773089","0,4191176677","0,383398566","0,2166511829","0,1688686808","0,2157849033",0,1
"0,5055753269","0,4120848928","0,3276373882","0,4202389511","0,3809060222","0,2190497442","0,1683128056","0,2446056384",0,1
"0,511536562","0,3911405181","0,3127437419","0,4202617463","0,419257166","0,2166134239","0,1732784943","0,2100207851",0,1
"0,5181864459","0,3867653249","0,3127163429","0,4185708778","0,4035873468","0,2139037964","0,167308165","0,198279739",0,1
"0,524595586","0,4086057201","0,323801079","0,4208109601","0,2771259177","0,2193664324","0,1770711023","0,2713582767",0,1
"0,4996110735","0,4184362928","0,3268989067","0,4253738186","0,3407911954","0,2308485741","0,1827394813","0,2643970052",0,1
"0,5003619174","0,395906941","0,3133312648","0,4203935624","0,3079440077","0,2200900223","0,1828483541","0,2366165551",0,1
"0,500066079","0,4188054726","0,3310444594","0,4574712556","0,2791967377","0,3858336689","0,1680618263","0,6185402477",0,1
"0,5296360891","0,4183415266","0,3261264777","0,4203997184","0,4629676214","0,2515457282","0,1808717787","0,447430069",0,1
"0,5695448961","0,422408097","0,3321355652","0,4283724685","0,637706487","0,2668731558","0,1855222491","0,4802367958",0,1
"0,5365521751","0,3950863231","0,3094986356","0,4179115437","0,3471829716","0,2139423129","0,1781819621","0,1882823678",0,1
"0,5034567808","0,4535679936","0,3489260872","0,4210430085","0,3866879364","0,2318395429","0,1848101452","0,3069204742",0,1
"0,4929377169","0,3546851058","0,3207012037","0,42130755","0,4233381257","0,2782638166","0,1772721533","0,5230107109",0,1
"0,4996268367","0,4632783513","0,3506585259","0,4211022618","0,3334115565","0,2525861461","0,1850087347","0,4028117777",0,1
"0,4989045664","0,4796592046","0,3646132994","0,4223670686","0,3401994838","0,2781738252","0,1765344479","0,571079676","0,6",1
"0,4929377169","0,3187095571","0,270351202","0,4115272686","0,2115575799","0,2111601568","0,1300541032","0,1674348299","0,6",1
"0,5000864128","0,3482949537","0,3030950068","0,4299486838","0,2955460864","0,2183579537","0,1887340983","0,2879256675","0,6",1
"0,4998632523","0,3864941978","0,3138419357","0,419154527","0,2911454525","0,2365649732","0,1820208437","0,2671828729",0,1
"0,5006609323","0,3387729253","0,3093101633","0,4193261528","0,3744896438","0,2689382595","0,1751967549","0,5277834339",0,1
"0,5001899311","0,3237420668","0,3002270183","0,42677065","0,3434228549","0,2508033762","0,1806289835","0,4022250857",0,1
"0,5000021042","0,3300337551","0,3019206349","0,4507220416","0,2145639976","0,2118220637","0,2524824191","0,1739472253",0,1
"0,5001802486","0,3224916623","0,3155512776","0,4314007574","0,2125597191","0,2616064454","0,1691572336","0,4711701906",0,1
"0,5","0,3313361671","0,2788409558","0,4346034369","0,3839715333","0,2114045219","0,1844807338","0,1709442232",0,1
"0,5000241576","0,3220966866","0,3037522599","0,4185902174","0,7483215468","0,2378653128","0,1743304562","0,3532495456",0,1
"0,5001216879","0,3502572937","0,2941645955","0,4331122252","0,2163725962","0,2422709676","0,1767228388","0,3315434286",0,1
"0,5004035663","0,3224673892","0,2765450252","0,4153595895","0,9858145109","0,2241536222","0,1656299195","0,2874347745",0,1
"0,4999990291","0,3714136862","0,292900429","0,5015707869","0,5010376624","0,219216177","0,1721566623","0,2033466823",0,1
"0,5000679885","0,4070442125","0,3127501373","0,4245660074","0,2250051261","0,249440852","0,1707321054","0,4188487394",0,1
